SRR2138382_Normal	SRR915775_Normal	SRR915787	SRR915784	SRR2138381_Normal
ENSG00000235257	6.81385	1.75955	2.05255	4.35686	4.43161
ENSG00000235288	122.861	31.5405	11.9256	1.9053	98.3452
ENSG00000235298	2.16401	1.70107	1.12777	3.52013	1.89312
ENSG00000235314	6.36731	0.426275	0.434498	0.599472	4.74937
ENSG00000235387	1.78971	2.45927	1.02447	0.507205	2.27569
ENSG00000235426	10.83	3.22967	0.584944	3.03053	12.3518
ENSG00000235437	10.6046	2.17067	2.51896	3.46898	9.47961
ENSG00000235453	9.98754	1.04525	0.42327	0.408403	11.3842
ENSG00000235501	26.5973	0.9373	0.277532	0.361599	17.3547
ENSG00000235512	0.286512	1.91357	0	1.66108	0
ENSG00000235522	10.3438	1.18204	0.356354	1.15117	9.06341
ENSG00000235531	1.35703	2.30116	0.737214	2.14311	1.97043
ENSG00000235535	22.8436	9.07381	14.0874	12.7368	39.3994
ENSG00000235652	6.59031	5.80722	5.02443	9.82863	6.00414
ENSG00000235663	3.37606	0.738678	0	1.08132	4.56975
ENSG00000235703	3.4885	0.592475	0.49589	2.52758	3.97893
ENSG00000235872	1.26968	1.93632	0.116196	1.25465	1.73163
ENSG00000235902	0.825687	5.09137	2.91075	3.74107	0.635016
ENSG00000235910	0.546168	0	0.172161	0.33549	0.0735077
ENSG00000235954	5.68934	0.558077	1.87591	1.71008	5.11328
ENSG00000235978	6.15345	0.618569	0	0.81103	5.23413
ENSG00000235997	0.174062	1.99319	0.554798	0.733072	0.449793
ENSG00000236013	15.3858	6.25209	1.42317	0.533084	6.46511
ENSG00000236017	6.2688	0.451995	0.212094	1.21477	5.06644
ENSG00000236051	1.48336	2.65449	0.760997	2.14054	1.09225
ENSG00000236088	1.49403	1.59908	0.310113	1.68956	2.06735
ENSG00000236144	3.258	0.606086	0.331586	0.622088	3.87866
ENSG00000236200	7.73573	1.05434	1.6506	2.41115	9.56138
ENSG00000236208	7.31962	0	1.49319	0.591527	7.04771
ENSG00000236383	1.16774	3.25328	0.579054	2.76738	0.981577
ENSG00000236404	8.27074	1.71034	1.77199	0.953126	10.3067
ENSG00000236498	9.64457	0.870838	0.447777	0.989534	6.41387
ENSG00000236540	4.93974	1.14634	0.521039	0.959446	7.02729
ENSG00000236618	5.59339	0	0	0.175868	5.2403
ENSG00000236714	0.506499	0.0807298	0.03611	0.0358283	7.10223
ENSG00000236719	1.10266	1.55759	0.279106	0.276195	0.503068
ENSG00000236723	18.078	1.13127	0.939165	0.806987	13.3971
ENSG00000236751	5.72542	1.16947	0.301563	0.29466	2.98889
ENSG00000236753	2.42075	0.614911	0.457958	0.197843	2.02219
ENSG00000236782	15.5627	5.28481	0.698974	1.08424	10.9516
ENSG00000236810	10.129	1.67489	1.10556	1.58078	8.56197
ENSG00000236830	4.23297	1.97017	1.15097	2.01144	3.44019
ENSG00000236869	2.16593	0	0.226775	0.438747	1.80206
ENSG00000236871	2.07586	0.741867	1.26865	0.359523	2.20852
ENSG00000236886	14.451	0.796941	1.32834	1.03143	6.37557
ENSG00000236958	12.9971	11.8287	22.5214	0	20.4529
ENSG00000236991	2.59065	1.31243	0.409176	1.50319	1.9776
ENSG00000237015	0.417495	0.173231	0.622344	0.967153	0.749199
ENSG00000237036	3.81303	2.1288	0.404274	1.94238	3.84296
ENSG00000237037	4.71301	0.932299	0.847482	1.01195	5.52412
ENSG00000237094	11.7967	3.50083	2.54251	5.45136	15.45
ENSG00000237125	31.7731	3.1355	6.83631	7.20682	28.3837
ENSG00000237126	14.9874	2.94896	0.851754	2.76832	14.2847
ENSG00000237298	62.6002	54.8115	38.5119	32.4022	35.2602
ENSG00000237310	3.25905	0	0.18156	0.220636	4.116
ENSG00000237371	4.60907	0	0	0	4.96261
ENSG00000237438	0.694391	0.703783	0.659029	0.83956	1.98886
ENSG00000237463	1.04101	0.00314294	0.0670599	0	1.07532
ENSG00000237491	3.22958	3.51706	1.35343	3.45304	3.23209
ENSG00000237512	4.30574	0.489518	1.30309	0.209717	47.6134
ENSG00000237596	0.497437	0.447153	2.0379	1.46317	19.3857
ENSG00000237786	1.79273	5.21477	1.07582	1.705	2.57366
ENSG00000237853	2.58105	0.268594	0	0.288173	3.37834
ENSG00000237938	3.79532	0.161103	0.26527	0.2746	3.19947
ENSG00000237945	1.63581	1.71473	2.22584	2.46763	3.83471
ENSG00000237949	22.6479	0.23541	0.426967	0	36.9191
ENSG00000238018	10.524	1.50696	2.03457	3.87804	12.2958
ENSG00000238035	5.79106	1.50819	0.694043	1.35461	6.81289
ENSG00000238045	15.5525	5.0446	1.31695	2.19722	12.0488
ENSG00000238057	0.734598	1.33484	0	0.581925	0.871719
ENSG00000238102	4.2405	0	0	0	3.53479
ENSG00000238142	9.51599	1.28028	0.175934	0.784877	11.6228
ENSG00000238164	1.29397	0.865969	0.522545	0.755337	1.52235
ENSG00000238258	7.14411	8.21216	3.6958	6.00918	6.49304
ENSG00000238273	0.19006	1.38148	1.75744	1.90388	0.289964
ENSG00000239445	2.04943	1.87818	0.377455	0	1.55629
ENSG00000239569	1.23246	0.27516	0.247826	0.12151	2.01507
ENSG00000239665	7.98528	2.87994	1.94293	7.31867	8.86981
ENSG00000239677	3.28248	0	2.41356e-46	0.0894454	5.30146
ENSG00000239775	736.049	18.2277	19.8803	6.9757	695.868
ENSG00000240005	1.97456	0	0	0.817169	0.095721
ENSG00000240211	10.2655	0	0.415032	0.391803	6.35544
ENSG00000240291	2.39544	0.504713	0.405514	0.430451	3.16288
ENSG00000240401	1.89395	2.81835	1.89539	5.67102	2.56154
ENSG00000240591	2.51441	0.443068	0.308247	0.48449	3.52552
ENSG00000240731	4.42767	0.313812	0	1.09872	5.36321
ENSG00000240801	36.1686	3.89975	3.2794	10.9449	28.1142
ENSG00000240889	7.95955	0.390958	0.366795	0.241186	6.43204
ENSG00000241135	45.6369	1.01986	1.25154	0.44688	82.5057
ENSG00000241288	1.8922	3.40765	2.19979	5.77929	1.45886
ENSG00000241313	2.46672	6.60046	1.60092	5.6834	1.51502
ENSG00000241316	0.965851	0.589493	0.424022	1.02369	0.650864
ENSG00000241326	2.33829	5.41197e-06	0.159308	1.16587	3.61917
ENSG00000241570	7.25261	2.02999	1.97474	3.17007	8.44389
